name, version, created, downloads
beerdb, 1.2.2, 2017-08-31, 2438
beerdb, 1.2.1, 2017-08-28, 1797
beerdb, 1.2.0, 2017-08-27, 1782
beerdb, 1.1.1, 2017-08-19, 1803
beerdb, 1.1.0, 2017-08-18, 1795
beerdb, 1.0.1, 2017-08-18, 1770
beerdb, 1.0.0, 2017-08-17, 1785
beerdb, 0.10.1, 2014-12-07, 3139
beerdb, 0.10.0, 2014-12-07, 2696
beerdb, 0.9.13, 2014-11-09, 2720
beerdb, 0.9.12, 2014-11-06, 2756
beerdb, 0.9.11, 2014-11-06, 2740
beerdb, 0.9.10, 2014-11-05, 2725
beerdb, 0.9.9, 2014-11-02, 2692
beerdb, 0.9.8, 2014-11-02, 2718
beerdb, 0.9.7, 2014-11-02, 2739
beerdb, 0.9.6, 2014-11-01, 2754
beerdb, 0.9.5, 2014-10-29, 2685
beerdb, 0.9.4, 2014-10-12, 2755
beerdb, 0.9.3, 2014-10-12, 2732
beerdb, 0.9.2, 2014-01-23, 3155
beerdb, 0.9.1, 2014-01-21, 3073
beerdb, 0.9.0, 2014-01-18, 3045
beerdb, 0.8.2, 2013-07-17, 3369
beerdb, 0.8.1, 2013-07-15, 3260
beerdb, 0.8.0, 2013-07-14, 3254
beerdb, 0.7.2, 2013-05-20, 3378
beerdb, 0.7.1, 2013-05-20, 3339
beerdb, 0.7.0, 2013-05-20, 3321
beerdb, 0.6.15, 2013-05-14, 3351
beerdb, 0.6.14, 2013-05-14, 3329
beerdb, 0.6.13, 2013-05-13, 3358
beerdb, 0.6.12, 2013-05-13, 3315
beerdb, 0.6.11, 2013-05-13, 3321
beerdb, 0.6.10, 2013-05-12, 3312
beerdb, 0.6.9, 2013-05-12, 3310
beerdb, 0.6.8, 2013-05-09, 3327
beerdb, 0.6.7, 2013-05-09, 3370
beerdb, 0.6.6, 2013-05-08, 3367
beerdb, 0.6.5, 2013-05-07, 3348
beerdb, 0.6.4, 2013-05-05, 3311
beerdb, 0.6.3, 2013-05-05, 3320
beerdb, 0.6.2, 2013-05-05, 3370
beerdb, 0.6.1, 2013-05-05, 3342
beerdb, 0.6.0, 2013-05-05, 3304
beerdb, 0.5.2, 2013-04-23, 3354
beerdb, 0.5.1, 2013-04-23, 3303
beerdb, 0.5.0, 2013-04-23, 3373
beerdb, 0.4.0, 2013-04-12, 3431
beerdb, 0.3.0, 2013-04-07, 3386
beerdb, 0.2.0, 2013-03-30, 3335
beerdb, 0.1.0, 2013-03-29, 3405
beerdb, 0.0.1, 2012-10-17, 3642
