name, version, created, downloads
csvreader, 1.2.5, 2021-10-05, 102121
csvreader, 1.2.4, 2019-07-27, 38759
csvreader, 1.2.3, 2018-11-24, 13105
csvreader, 1.2.2, 2018-11-19, 1645
csvreader, 1.2.1, 2018-11-06, 1667
csvreader, 1.2.0, 2018-11-05, 1607
csvreader, 1.1.5, 2018-11-04, 1857
csvreader, 1.1.4, 2018-10-27, 1843
csvreader, 1.1.3, 2018-10-24, 1531
csvreader, 1.1.2, 2018-10-24, 1534
csvreader, 1.1.1, 2018-10-23, 1540
csvreader, 1.1.0, 2018-10-23, 1481
csvreader, 1.0.3, 2018-10-22, 1544
csvreader, 1.0.2, 2018-10-21, 1520
csvreader, 1.0.1, 2018-10-11, 1587
csvreader, 1.0.0, 2018-10-09, 1544
csvreader, 0.7.0, 2018-10-05, 1540
csvreader, 0.6.0, 2018-10-01, 1550
csvreader, 0.5.0, 2018-09-25, 1579
csvreader, 0.4.0, 2018-08-21, 1658
csvreader, 0.3.0, 2018-08-20, 1565
csvreader, 0.2.0, 2018-08-19, 1564
csvreader, 0.1.0, 2018-08-15, 1582
csvreader, 0.0.1, 2018-08-15, 1532
