name, version, created, downloads
factbook, 2.0.1, 2020-11-27, 1516
factbook, 2.0.0, 2020-11-24, 1194
factbook, 1.2.2, 2016-11-08, 2272
factbook, 1.2.1, 2016-11-06, 1738
factbook, 1.2.0, 2016-11-05, 1739
factbook, 1.1.1, 2015-11-08, 2270
factbook, 1.1.0, 2015-11-01, 2036
factbook, 1.0.1, 2015-10-31, 2005
factbook, 1.0.0, 2015-10-26, 2056
factbook, 0.1.3, 2014-08-24, 2600
factbook, 0.1.2, 2014-07-13, 2461
factbook, 0.1.1, 2014-07-12, 2450
factbook, 0.1.0, 2014-07-12, 2461
factbook, 0.0.1, 2014-07-07, 2464
