name, version, created, downloads
hubba, 1.0.2, 2023-08-28, 131
hubba, 1.0.1, 2023-08-28, 81
hubba, 1.0.0, 2020-10-15, 2072
hubba, 0.7.0, 2020-10-14, 1190
hubba, 0.6.2, 2020-10-11, 1195
hubba, 0.6.1, 2020-10-09, 1200
hubba, 0.6.0, 2020-10-08, 1196
hubba, 0.5.2, 2020-10-07, 1187
hubba, 0.5.1, 2020-10-07, 1168
hubba, 0.5.0, 2018-02-24, 1665
hubba, 0.4.0, 2018-02-12, 1498
hubba, 0.3.0, 2018-02-08, 1481
hubba, 0.2.0, 2017-02-12, 1824
hubba, 0.1.2, 2016-08-17, 1825
hubba, 0.1.1, 2016-08-17, 1686
hubba, 0.1.0, 2015-11-16, 2122
