name, version, created, downloads
kittyverse, 1.0.1, 2021-02-17, 2204
kittyverse, 1.0.0, 2021-02-17, 1536
kittyverse, 0.5.0, 2019-08-10, 2068
kittyverse, 0.4.5, 2019-05-21, 1846
kittyverse, 0.4.4, 2019-05-19, 1733
kittyverse, 0.4.3, 2019-05-18, 1734
kittyverse, 0.4.2, 2019-05-17, 1738
kittyverse, 0.4.1, 2019-05-14, 1750
kittyverse, 0.4.0, 2019-05-09, 1752
kittyverse, 0.3.0, 2019-05-08, 1738
kittyverse, 0.2.0, 2019-01-13, 1424
kittyverse, 0.1.0, 2019-01-13, 1355
kittyverse, 0.0.1, 2019-01-11, 1383
