name, version, created, downloads
money-tree, 0.11.2, 2023-01-05, 714
money-tree, 0.11.1, 2022-11-03, 2287
money-tree, 0.11.0, 2022-11-03, 222
money-tree, 0.10.0, 2018-05-30, 690413
money-tree, 0.9.0, 2015-05-19, 469284
money-tree, 0.8.9, 2015-01-21, 20381
money-tree, 0.8.8, 2014-12-04, 6320
money-tree, 0.8.7, 2014-05-28, 40516
money-tree, 0.8.6, 2013-12-26, 3516
money-tree, 0.8.5, 2013-12-24, 2365
money-tree, 0.8.4, 2013-12-19, 2335
money-tree, 0.8.3, 2013-12-18, 2352
money-tree, 0.8.2, 2013-12-17, 2340
money-tree, 0.8.1, 2013-09-17, 2545
money-tree, 0.8.0, 2013-09-16, 2423
money-tree, 0.0.3, 2013-09-15, 2400
money-tree, 0.0.2, 2013-09-10, 2417
money-tree, 0.0.1, 2013-09-09, 2411
