name, version, created, downloads
monos, 1.1.1, 2020-11-04, 2000
monos, 1.1.0, 2020-11-02, 1161
monos, 1.0.2, 2020-10-27, 1194
monos, 1.0.1, 2020-10-26, 1166
monos, 1.0.0, 2020-10-25, 1167
monos, 0.6.0, 2020-10-24, 1161
monos, 0.5.0, 2020-10-21, 1167
monos, 0.4.0, 2020-09-06, 1257
monos, 0.3.1, 2020-09-06, 1217
monos, 0.3.0, 2020-09-06, 1219
monos, 0.2.1, 2020-09-04, 1210
monos, 0.2.0, 2020-09-04, 1168
monos, 0.1.2, 2020-09-01, 1191
monos, 0.1.1, 2020-09-01, 1158
monos, 0.1.0, 2020-09-01, 1160
