name, version, created, downloads
pluto-models, 1.6.2, 2020-03-10, 69625
pluto-models, 1.6.1, 2020-02-21, 15355
pluto-models, 1.6.0, 2020-02-16, 1416
pluto-models, 1.5.6, 2020-02-07, 1468
pluto-models, 1.5.5, 2020-02-06, 1385
pluto-models, 1.5.4, 2020-02-01, 1428
pluto-models, 1.5.3, 2020-01-30, 1406
pluto-models, 1.5.2, 2020-01-26, 1950
pluto-models, 1.5.1, 2019-06-14, 3217
pluto-models, 1.5.0, 2017-11-27, 2642
pluto-models, 1.4.1, 2017-10-23, 1600
pluto-models, 1.4.0, 2015-01-18, 2684
pluto-models, 1.3.2, 2014-12-26, 2164
pluto-models, 1.3.1, 2014-12-25, 2101
pluto-models, 1.3.0, 2014-12-15, 2142
pluto-models, 1.2.4, 2014-12-14, 2108
pluto-models, 1.2.3, 2014-12-13, 2103
pluto-models, 1.2.2, 2014-12-13, 2106
pluto-models, 1.2.1, 2014-12-13, 2103
pluto-models, 1.2.0, 2014-12-13, 2100
pluto-models, 1.1.0, 2014-12-12, 2092
