name, version, created, downloads
pluto-update, 1.6.4, 2020-03-10, 69602
pluto-update, 1.6.3, 2020-02-01, 15573
pluto-update, 1.6.2, 2020-01-30, 1389
pluto-update, 1.6.1, 2020-01-26, 1932
pluto-update, 1.6.0, 2015-01-18, 5042
pluto-update, 1.5.0, 2015-01-11, 2094
pluto-update, 1.4.0, 2015-01-09, 2112
pluto-update, 1.3.0, 2014-12-25, 2152
pluto-update, 1.2.0, 2014-12-15, 2130
pluto-update, 1.1.2, 2014-12-14, 2109
pluto-update, 1.1.1, 2014-12-14, 2105
pluto-update, 1.1.0, 2014-12-13, 2112
