name, version, created, downloads
pluto, 1.3.4, 2020-02-01, 83557
pluto, 1.3.3, 2020-01-30, 1385
pluto, 1.3.2, 2020-01-26, 1932
pluto, 1.3.1, 2017-11-27, 3786
pluto, 1.3.0, 2017-11-26, 1459
pluto, 1.2.3, 2015-01-18, 2616
pluto, 1.2.2, 2015-01-11, 2089
pluto, 1.2.1, 2015-01-11, 2089
pluto, 1.2.0, 2015-01-11, 2078
pluto, 1.1.0, 2014-12-13, 2132
pluto, 1.0.1, 2014-02-28, 2382
pluto, 1.0.0, 2013-11-11, 2471
pluto, 0.9.2, 2013-11-09, 2415
pluto, 0.9.1, 2013-11-09, 2380
pluto, 0.9.0, 2013-10-11, 2678
pluto, 0.8.10, 2013-10-06, 2419
pluto, 0.8.9, 2013-10-05, 2418
pluto, 0.8.8, 2013-10-04, 2404
pluto, 0.8.7, 2013-10-04, 2444
pluto, 0.8.6, 2013-10-04, 2431
pluto, 0.8.5, 2013-10-02, 2411
pluto, 0.8.4, 2013-10-01, 2402
pluto, 0.8.3, 2013-09-28, 2423
pluto, 0.8.2, 2013-09-24, 2421
pluto, 0.8.1, 2013-09-23, 2409
pluto, 0.8.0, 2013-09-21, 2405
pluto, 0.7.0, 2013-09-12, 2444
pluto, 0.6.0, 2013-09-10, 2446
pluto, 0.5.0, 2013-09-10, 2399
pluto, 0.4.0, 2013-09-09, 2413
pluto, 0.3.0, 2012-07-19, 2810
pluto, 0.2.0, 2012-07-17, 2762
pluto, 0.1.0, 2012-07-14, 2756
pluto, 0.0.1, 2012-07-14, 2763
