name, version, created, downloads
slideshow-models, 4.1.0, 2019-02-21, 2399
slideshow-models, 4.0.1, 2017-10-28, 2243
slideshow-models, 4.0.0, 2017-10-27, 1444
slideshow-models, 3.3.1, 2017-10-24, 1462
slideshow-models, 3.3.0, 2016-09-06, 2222
slideshow-models, 3.2.0, 2016-05-09, 2425
slideshow-models, 3.1.1, 2016-05-08, 2238
slideshow-models, 3.1.0, 2016-05-06, 1694
slideshow-models, 3.0.2, 2016-05-06, 1645
slideshow-models, 3.0.1, 2016-04-11, 1783
slideshow-models, 3.0.0, 2016-04-02, 2188
slideshow-models, 2.5.0, 2014-12-11, 3152
slideshow-models, 2.4.0, 2014-12-10, 2076
