name, version, created, downloads
slideshow, 4.1.0, 2019-02-21, 2184
slideshow, 4.0.0, 2017-10-27, 1985
slideshow, 3.1.0, 2016-05-06, 2893
slideshow, 3.0.1, 2016-04-11, 1796
slideshow, 3.0.0, 2016-04-02, 1742
slideshow, 2.4.1, 2014-12-10, 3199
slideshow, 2.4.0, 2014-12-10, 2070
slideshow, 2.3.0, 2013-07-16, 4103
slideshow, 2.2.0, 2013-07-12, 2483
slideshow, 2.1.0, 2013-07-07, 2463
slideshow, 2.0.1, 2013-06-21, 2489
slideshow, 2.0.0, 2013-06-19, 2446
slideshow, 1.2.5, 2013-06-16, 2446
slideshow, 1.2.4, 2013-06-15, 2427
slideshow, 1.2.3, 2012-06-24, 3721
slideshow, 1.2.2, 2012-06-24, 2733
slideshow, 1.2.1, 2012-06-23, 2702
slideshow, 1.2.0, 2012-06-22, 2715
slideshow, 1.2.0.beta5, 2012-06-20, 2100
slideshow, 1.2.0.beta4, 2012-06-19, 2115
slideshow, 1.2.0.beta3, 2012-06-19, 2129
slideshow, 1.2.0.beta2, 2012-06-18, 2260
slideshow, 1.2.0.beta1, 2012-06-18, 2107
slideshow, 1.1.0, 2012-06-17, 2778
slideshow, 1.1.0.beta8, 2012-06-16, 2125
slideshow, 1.1.0.beta7, 2012-06-12, 2062
slideshow, 1.1.0.beta6, 2012-06-12, 2120
slideshow, 1.1.0.beta5, 2012-06-12, 2267
slideshow, 1.1.0.beta4, 2012-06-10, 2124
slideshow, 1.1.0.beta3, 2012-06-09, 2114
slideshow, 1.1.0.beta2, 2012-06-06, 2131
slideshow, 1.1.0.beta1, 2012-06-03, 2112
slideshow, 1.0.5, 2012-06-03, 2755
slideshow, 1.0.4, 2012-06-03, 2721
slideshow, 1.0.3, 2012-05-26, 2741
slideshow, 1.0.2, 2012-05-26, 2697
slideshow, 1.0.1, 2012-05-26, 2712
slideshow, 1.0.0, 2012-03-04, 3043
slideshow, 0.9.11, 2012-02-21, 2867
slideshow, 0.9.10, 2012-02-19, 2806
slideshow, 0.9.9, 2011-02-06, 13725
slideshow, 0.9.8, 2011-02-06, 3068
slideshow, 0.9.7, 2010-07-21, 3474
slideshow, 0.9.6, 2010-07-18, 3181
slideshow, 0.9.5, 2010-07-14, 3259
slideshow, 0.9.4, 2010-07-14, 3141
slideshow, 0.9.3, 2010-07-12, 3147
slideshow, 0.9.2, 2010-07-11, 3155
slideshow, 0.9.1, 2010-07-05, 3153
slideshow, 0.9, 2010-07-04, 3117
slideshow, 0.8.5, 2010-06-24, 3144
slideshow, 0.8.4, 2010-06-23, 3138
slideshow, 0.8.3, 2010-06-22, 3141
slideshow, 0.8.2, 2010-06-19, 3129
slideshow, 0.8.1, 2010-06-13, 3169
slideshow, 0.8, 2009-07-25, 3495
slideshow, 0.7.8, 2009-07-25, 3233
slideshow, 0.7.7, 2009-07-25, 3232
slideshow, 0.7.6, 2009-07-25, 3238
slideshow, 0.7.5, 2009-07-25, 3232
slideshow, 0.7.4, 2009-07-25, 3237
slideshow, 0.7.3, 2009-07-25, 3236
slideshow, 0.7.2, 2009-07-25, 3174
slideshow, 0.7.1, 2009-07-25, 3175
slideshow, 0.7, 2009-07-25, 3212
slideshow, 0.6.1, 2009-07-25, 3172
slideshow, 0.6, 2009-07-25, 3212
slideshow, 0.5.2, 2009-07-25, 3215
slideshow, 0.5.1, 2009-07-25, 3191
slideshow, 0.5, 2009-07-25, 3204
slideshow, 0.4.2, 2009-07-25, 3162
slideshow, 0.4.1, 2009-07-25, 3198
slideshow, 0.4, 2009-07-25, 3181
slideshow, 0.3.1, 2009-07-25, 3189
slideshow, 0.3, 2009-07-25, 3227
slideshow, 0.2, 2009-07-25, 3166
slideshow, 0.1, 2009-07-25, 3163
