name, version, created, downloads
sportdb-config, 1.1.1, 2020-07-07, 1516
sportdb-config, 1.1.0, 2020-06-15, 1245
sportdb-config, 1.0.4, 2020-05-19, 1314
sportdb-config, 1.0.3, 2020-05-18, 1232
sportdb-config, 1.0.2, 2020-05-11, 1274
sportdb-config, 1.0.1, 2020-05-11, 1223
sportdb-config, 1.0.0, 2020-05-11, 1213
sportdb-config, 0.9.0, 2019-10-29, 1800
sportdb-config, 0.8.1, 2019-10-23, 1504
sportdb-config, 0.8.0, 2019-09-09, 1599
sportdb-config, 0.7.1, 2019-08-20, 1602
sportdb-config, 0.7.0, 2019-08-19, 1561
sportdb-config, 0.6.0, 2019-08-12, 1586
sportdb-config, 0.5.3, 2019-08-08, 1581
sportdb-config, 0.5.2, 2019-08-05, 1592
sportdb-config, 0.5.1, 2019-08-03, 1585
sportdb-config, 0.5.0, 2019-08-01, 1585
sportdb-config, 0.4.1, 2019-07-31, 1567
sportdb-config, 0.4.0, 2019-07-30, 1588
sportdb-config, 0.3.6, 2019-07-28, 1595
sportdb-config, 0.3.5, 2019-07-28, 1576
sportdb-config, 0.3.4, 2019-07-21, 1612
sportdb-config, 0.3.3, 2019-07-16, 1620
sportdb-config, 0.3.2, 2019-07-10, 1640
sportdb-config, 0.3.1, 2019-07-08, 1634
sportdb-config, 0.3.0, 2019-07-07, 1622
sportdb-config, 0.2.3, 2019-06-30, 1647
sportdb-config, 0.2.2, 2019-06-30, 1609
sportdb-config, 0.2.1, 2019-06-29, 1622
sportdb-config, 0.2.0, 2019-06-29, 1591
sportdb-config, 0.1.0, 2019-06-29, 1604
sportdb-config, 0.0.1, 2019-06-19, 1664
