name, version, created, downloads
sportdb-models, 2.0.3, 2020-10-17, 2283
sportdb-models, 2.0.2, 2020-08-01, 1335
sportdb-models, 2.0.1, 2020-06-15, 1288
sportdb-models, 2.0.0, 2020-05-24, 1283
sportdb-models, 1.19.1, 2020-05-23, 1247
sportdb-models, 1.19.0, 2020-05-11, 1292
sportdb-models, 1.18.6, 2019-12-29, 1620
sportdb-models, 1.18.5, 2019-12-29, 1382
sportdb-models, 1.18.4, 2019-12-26, 1409
sportdb-models, 1.18.3, 2019-12-25, 1412
sportdb-models, 1.18.2, 2019-11-03, 1592
sportdb-models, 1.18.1, 2019-11-03, 1446
sportdb-models, 1.18.0, 2018-07-13, 1847
sportdb-models, 1.17.0, 2017-12-01, 2086
sportdb-models, 1.16.2, 2015-12-12, 2993
sportdb-models, 1.16.1, 2015-12-10, 1851
sportdb-models, 1.16.0, 2015-12-10, 1820
sportdb-models, 1.15.2, 2015-12-08, 1859
sportdb-models, 1.15.1, 2015-12-05, 1851
sportdb-models, 1.15.0, 2015-11-28, 1881
sportdb-models, 1.14.2, 2015-09-17, 2028
sportdb-models, 1.14.1, 2015-09-10, 1915
sportdb-models, 1.14.0, 2015-08-24, 1991
sportdb-models, 1.13.0, 2015-07-24, 2009
sportdb-models, 1.12.0, 2015-07-22, 1959
sportdb-models, 1.11.2, 2015-04-14, 2080
sportdb-models, 1.11.1, 2015-04-12, 2008
sportdb-models, 1.11.0, 2014-12-09, 2176
sportdb-models, 1.10.1, 2014-12-06, 2076
sportdb-models, 1.10.0, 2014-12-05, 2084
