name, version, created, downloads
sportdb-readers, 1.1.2, 2020-08-01, 2432
sportdb-readers, 1.1.1, 2020-07-07, 1210
sportdb-readers, 1.1.0, 2020-06-15, 1245
sportdb-readers, 1.0.3, 2020-05-24, 1283
sportdb-readers, 1.0.2, 2020-05-12, 1287
sportdb-readers, 1.0.1, 2020-05-11, 1240
sportdb-readers, 1.0.0, 2020-05-11, 1212
sportdb-readers, 0.5.0, 2020-04-20, 1312
sportdb-readers, 0.4.8, 2019-12-29, 1586
sportdb-readers, 0.4.7, 2019-12-29, 1381
sportdb-readers, 0.4.6, 2019-12-28, 1398
sportdb-readers, 0.4.5, 2019-12-15, 1446
sportdb-readers, 0.4.4, 2019-12-01, 1487
sportdb-readers, 0.4.3, 2019-12-01, 1419
sportdb-readers, 0.4.2, 2019-11-28, 1464
sportdb-readers, 0.4.0, 2019-11-26, 1453
sportdb-readers, 0.3.7, 2019-11-25, 1460
sportdb-readers, 0.3.6, 2019-11-22, 1464
sportdb-readers, 0.3.5, 2019-11-22, 1425
sportdb-readers, 0.3.4, 2019-11-21, 1459
sportdb-readers, 0.3.3, 2019-11-19, 1468
sportdb-readers, 0.3.2, 2019-11-17, 1467
sportdb-readers, 0.3.1, 2019-11-17, 1447
sportdb-readers, 0.3.0, 2019-11-16, 1468
sportdb-readers, 0.2.3, 2019-11-14, 1482
sportdb-readers, 0.2.2, 2019-11-13, 1481
sportdb-readers, 0.2.1, 2019-11-09, 1505
sportdb-readers, 0.2.0, 2019-11-04, 1509
sportdb-readers, 0.1.2, 2019-11-03, 1491
sportdb-readers, 0.1.1, 2019-10-30, 1517
sportdb-readers, 0.1.0, 2019-10-30, 1476
sportdb-readers, 0.0.1, 2019-10-29, 1504
