name, version, created, downloads
textutils, 1.4.0, 2015-11-28, 177062
textutils, 1.3.1, 2015-06-15, 6453
textutils, 1.3.0, 2015-06-14, 1959
textutils, 1.2.4, 2015-06-14, 1960
textutils, 1.2.3, 2015-06-11, 2044
textutils, 1.2.2, 2015-06-04, 2134
textutils, 1.2.1, 2015-04-06, 3498
textutils, 1.2.0, 2015-02-19, 3326
textutils, 1.1.0, 2015-02-19, 2015
textutils, 1.0.1, 2015-01-18, 3119
textutils, 1.0.0, 2015-01-10, 2299
textutils, 0.10.0, 2014-12-04, 2694
textutils, 0.9.10, 2014-11-09, 3246
textutils, 0.9.9, 2014-11-08, 2096
textutils, 0.9.8, 2014-11-06, 2112
textutils, 0.9.7, 2014-11-06, 2089
textutils, 0.9.6, 2014-11-05, 2095
textutils, 0.9.5, 2014-10-29, 2258
textutils, 0.9.4, 2014-03-31, 36868
textutils, 0.9.3, 2014-03-30, 2246
textutils, 0.9.2, 2014-03-28, 2231
textutils, 0.9.1, 2014-03-24, 2421
textutils, 0.9.0, 2014-03-24, 2242
textutils, 0.8.7, 2014-03-02, 2944
textutils, 0.8.6, 2014-02-16, 3521
textutils, 0.8.5, 2014-02-15, 2253
textutils, 0.8.4, 2014-02-12, 2368
textutils, 0.8.3, 2014-01-23, 2912
textutils, 0.8.2, 2014-01-22, 2365
textutils, 0.8.1, 2014-01-17, 2409
textutils, 0.8.0, 2014-01-17, 2295
textutils, 0.7.1, 2013-12-25, 2916
textutils, 0.7.0, 2013-10-11, 5889
textutils, 0.6.8, 2013-08-29, 8928
textutils, 0.6.7, 2013-08-19, 4188
textutils, 0.6.6, 2013-06-25, 3898
textutils, 0.6.5, 2013-06-24, 2463
textutils, 0.6.4, 2013-05-20, 5821
textutils, 0.6.3, 2013-05-20, 2462
textutils, 0.6.2, 2013-05-20, 2496
textutils, 0.6.1, 2013-05-20, 2435
textutils, 0.6.0, 2013-05-20, 2443
textutils, 0.5.13, 2013-05-14, 2502
textutils, 0.5.12, 2013-05-09, 2532
textutils, 0.5.11, 2013-05-09, 2472
textutils, 0.5.10, 2013-05-08, 2464
textutils, 0.5.9, 2013-05-05, 2514
textutils, 0.5.8, 2013-05-05, 2473
textutils, 0.5.7, 2013-05-04, 2464
textutils, 0.5.6, 2013-05-04, 2472
textutils, 0.5.5, 2013-04-23, 3318
textutils, 0.5.4, 2013-04-23, 2461
textutils, 0.5.3, 2013-04-23, 2485
textutils, 0.5.2, 2013-03-16, 3411
textutils, 0.5.1, 2013-02-27, 2744
textutils, 0.5.0, 2013-02-24, 2616
textutils, 0.4.0, 2013-02-21, 2562
textutils, 0.3.0, 2013-02-20, 2529
textutils, 0.2.0, 2012-06-09, 80775
textutils, 0.1.0, 2012-06-09, 2706
textutils, 0.0.1, 2012-06-09, 9610
