name, version, created, downloads
worlddb-models, 2.4.1, 2020-05-19, 2756
worlddb-models, 2.4.0, 2017-08-31, 2944
worlddb-models, 2.3.6, 2017-08-30, 1456
worlddb-models, 2.3.5, 2017-08-28, 1464
worlddb-models, 2.3.4, 2015-06-20, 3441
worlddb-models, 2.3.3, 2015-06-15, 1999
worlddb-models, 2.3.2, 2015-06-14, 1983
worlddb-models, 2.3.1, 2015-06-10, 2018
worlddb-models, 2.3.0, 2015-06-08, 2017
worlddb-models, 2.2.2, 2015-03-09, 2212
worlddb-models, 2.2.1, 2015-03-06, 2045
worlddb-models, 2.2.0, 2014-12-07, 2204
worlddb-models, 2.1.0, 2014-12-04, 2322
