name, version, created, downloads
worlddb, 2.4.0, 2017-08-31, 2158
worlddb, 2.3.0, 2015-06-08, 2808
worlddb, 2.2.1, 2014-12-06, 2246
worlddb, 2.2.0, 2014-12-06, 2117
worlddb, 2.1.0, 2014-12-05, 2114
worlddb, 2.0.9, 2014-12-03, 2134
worlddb, 2.0.8, 2014-11-19, 2144
worlddb, 2.0.7, 2014-11-17, 2134
worlddb, 2.0.6, 2014-11-16, 2133
worlddb, 2.0.5, 2014-11-09, 2191
worlddb, 2.0.4, 2014-04-15, 3800
worlddb, 2.0.3, 2014-04-04, 2333
worlddb, 2.0.2, 2014-03-31, 2308
worlddb, 2.0.1, 2014-03-29, 2258
worlddb, 2.0.0, 2014-03-22, 2277
worlddb, 1.8.2, 2014-01-18, 2535
worlddb, 1.8.1, 2014-01-17, 2343
worlddb, 1.8.0, 2014-01-17, 2310
worlddb, 1.7.2, 2013-06-22, 2729
worlddb, 1.7.1, 2013-05-20, 2515
worlddb, 1.7.0, 2013-05-20, 2423
worlddb, 1.6.6, 2013-05-12, 2471
worlddb, 1.6.5, 2013-05-12, 2460
worlddb, 1.6.4, 2013-05-09, 2448
worlddb, 1.6.3, 2013-03-17, 2554
worlddb, 1.6.2, 2013-03-16, 2464
worlddb, 1.6.1, 2013-03-11, 2485
worlddb, 1.6.0, 2013-03-06, 2482
worlddb, 1.5.0, 2013-03-04, 2488
worlddb, 1.4.0, 2013-02-26, 2516
worlddb, 1.3.0, 2013-02-24, 2585
worlddb, 1.2.0, 2013-02-22, 2494
worlddb, 1.1.0, 2013-02-21, 2518
worlddb, 1.0.1, 2013-02-20, 2525
worlddb, 1.0.0, 2013-02-20, 2502
worlddb, 0.8.0, 2012-12-09, 2590
worlddb, 0.7.1, 2012-12-08, 2561
worlddb, 0.7.0, 2012-12-05, 2554
worlddb, 0.6.8, 2012-12-02, 2578
worlddb, 0.6.7, 2012-12-02, 2590
worlddb, 0.6.6, 2012-11-30, 2581
worlddb, 0.6.5, 2012-11-29, 2591
worlddb, 0.6.4, 2012-11-26, 2592
worlddb, 0.6.3, 2012-11-26, 2572
worlddb, 0.6.2, 2012-11-25, 2574
worlddb, 0.6.1, 2012-11-24, 2604
worlddb, 0.6.0, 2012-11-24, 2597
worlddb, 0.5.0, 2012-11-21, 2589
worlddb, 0.4.0, 2012-11-20, 2589
worlddb, 0.3.2, 2012-11-16, 2626
worlddb, 0.3.1, 2012-11-16, 2613
worlddb, 0.3.0, 2012-11-11, 2679
worlddb, 0.2.2, 2012-11-08, 2619
worlddb, 0.2.1, 2012-11-07, 2619
worlddb, 0.2.0, 2012-11-06, 2683
worlddb, 0.1.0, 2012-11-05, 2618
worlddb, 0.0.1, 2012-11-05, 2700
