name, version, created, downloads
yorobot, 1.1.0, 2020-11-04, 1951
yorobot, 1.0.5, 2020-10-27, 1164
yorobot, 1.0.4, 2020-10-27, 1090
yorobot, 1.0.3, 2020-10-27, 1092
yorobot, 1.0.2, 2020-10-26, 1133
yorobot, 1.0.1, 2020-10-25, 1129
yorobot, 1.0.0, 2020-10-25, 1091
yorobot, 0.3.0, 2020-10-22, 1136
yorobot, 0.2.2, 2020-10-21, 1132
yorobot, 0.2.1, 2020-10-21, 1094
yorobot, 0.2.0, 2020-10-21, 1101
yorobot, 0.1.1, 2020-10-20, 1123
yorobot, 0.1.0, 2020-10-20, 1111
yorobot, 0.0.1, 2020-10-19, 1126
