name, version, version_created, version_downloads, homepage, dependencies
cocos, 0.3.0, 2023-09-05, 14, https://github.com/rubycocos/cocos, csvreader | iniparser | tabreader | webclient
punkmaker, 0.3.3, 2023-09-02, 119, https://github.com/cryptopunksnotdead/punkart.sandbox, pixelart | spritesheet
hubba, 1.0.2, 2023-08-28, 131, https://github.com/rubycoco/git, webclient
punkme, 0.1.0, 2023-08-28, 135, https://github.com/cryptopunksnotdead/punkart.sandbox, barbershop | hairsalon | punkmaker | punks
barbershop, 0.1.0, 2023-08-27, 144, https://github.com/cryptopunksnotdead/punkart.sandbox, punkmaker
hairsalon, 0.0.1, 2023-08-27, 149, https://github.com/cryptopunksnotdead/punkart.sandbox, punkmaker
satsnames, 0.0.1, 2023-08-20, 147, https://github.com/ordbase/ordbase, cocos
ordlite, 0.3.0, 2023-08-19, 173, https://github.com/ordbase/ordbase, activerecord | activerecord-utils | logutils | logutils-activerecord | ordinals | pixelart | props | props-activerecord | sqlite3
unisat, 0.1.0, 2023-08-14, 161, https://github.com/ordbase/ordbase, cocos | nokogiri | puppeteer-ruby
pixelart, 1.4.0, 2023-08-11, 202, https://github.com/learnpixelart/pixelart, chunky_png | cocos | mini_magick | pixelart-colors
ordinals, 1.3.0, 2023-08-07, 163, https://github.com/ordbase/ordbase, cocos | nokogiri
ordserve, 0.1.1, 2023-08-02, 162, https://github.com/ordbase/ordbase, ordinals | sinatra | webrick
bitgen, 1.0.0, 2023-07-31, 162, https://github.com/ordbase/ordbase, pixelart
ordscan, 0.0.1, 2023-07-01, 186, https://github.com/ordbase/generative-orc-721, ordlite
ordgen, 0.1.0, 2023-06-13, 205, https://github.com/ordbase/generative-orc-721, pixelart
readymades, 1.0.2, 2023-05-19, 244, https://github.com/profilepic/text-to-image, punks
punkart, 0.0.1, 2023-04-21, 219, https://github.com/cryptopunksnotdead/cryptopunks, pixelart | punkmaker | punks
ordbase, 1.0.2, 2023-04-17, 227, https://github.com/ordbase/ordbase, ordinals | pixelart
artfactory, 1.0.0, 2023-04-08, 278, https://github.com/generativeartfactory/artfactory, backgrounds | pixelart
abi2ruby, 0.1.0, 2023-02-09, 354, https://github.com/rubycocos/blockchain, abiparser | natspec
abidoc, 0.1.1, 2023-02-09, 350, https://github.com/rubycocos/blockchain, abiparser
abigen, 0.1.1, 2023-02-09, 350, https://github.com/rubycocos/blockchain, abi2ruby | abi2sol | abidoc
abidump, 0.1.1, 2023-02-07, 354, https://github.com/rubycocos/blockchain, cocos
solidity, 0.2.0, 2023-02-07, 282, https://github.com/rubycocos/blockchain, cocos
soldoc, 0.0.1, 2023-02-04, 274, https://github.com/rubycocos/blockchain, solidity
abi2sol, 0.1.0, 2023-02-03, 370, https://github.com/rubycocos/blockchain, abiparser
abiparser, 0.1.3, 2023-02-03, 62948, https://github.com/rubycocos/blockchain, bytes | cocos | digest-lite
abibase, 0.0.1, 2023-01-28, 361, https://github.com/rubycocos/blockchain, abidoc | abigen | abiparser | etherscan-lite | natspec
ethname, 0.1.3, 2023-01-27, 340, https://github.com/rubycocos/blockchain, cocos
gemverse, 0.1.1, 2023-01-25, 295, https://github.com/rubycocos/git, cocos
eventdb, 1.1.2, 2023-01-18, 334, https://github.com/textkit/event.db, activerecord | csvreader | logutils | logutils-activerecord | props | props-activerecord
whatson, 2023.0.0, 2023-01-18, 314, https://github.com/rubycocos/events, eventdb | fetcher | sqlite3
