week, name, version, count, created, downloads
2023/01, money-tree, 0.11.2, 18, 2023-01-05, 714
2023/01, eth, 0.5.10, 30, 2023-01-02, 2341
2022/51, eth, 0.5.9, 29, 2022-12-21, 512
2022/48, eth, 0.5.8, 28, 2022-11-30, 1509
2022/44, money-tree, 0.11.1, 17, 2022-11-03, 2287
2022/44, money-tree, 0.11.0, 16, 2022-11-03, 222
2022/44, eth, 0.5.7, 27, 2022-10-31, 4629
2022/34, keccak, 1.3.1, 5, 2022-08-23, 38663
2022/26, eth, 0.5.6, 26, 2022-07-01, 22011
2022/23, omniauth-ethereum, 0.2.0, 3, 2022-06-07, 598
2022/22, eth, 0.5.5, 25, 2022-05-30, 5462
2022/20, eth, 0.5.4, 24, 2022-05-16, 1675
2022/18, eth, 0.5.3, 23, 2022-05-06, 3695
2022/13, eth, 0.5.2, 22, 2022-03-28, 2875
2022/05, eth, 0.5.1, 21, 2022-01-31, 9255
2022/03, eth, 0.5.0, 20, 2022-01-17, 1383
2022/01, eth, 0.4.18, 19, 2022-01-04, 3216
2021/48, eth, 0.4.17, 18, 2021-12-01, 63378
2021/48, keccak, 1.3.0, 4, 2021-12-01, 116736
2021/47, omniauth-ethereum, 0.1.0, 2, 2021-11-23, 1134
2021/46, omniauth-ethereum, 0.0.1, 1, 2021-11-18, 937
2021/43, eth, 0.4.16, 17, 2021-10-30, 15552
2021/40, eth-patched, 0.4.15, 3, 2021-10-07, 1491
2021/40, keccak, 1.2.2, 3, 2021-10-07, 98061
2021/39, keccak, 1.2.1, 2, 2021-10-02, 1055
2021/39, eth-patched, 0.4.14, 2, 2021-09-30, 1091
2021/39, keccak, 1.2.0, 1, 2021-09-30, 2122
2021/38, eth-patched, 0.4.13, 1, 2021-09-23, 1091
2020/10, eth, 0.4.12, 16, 2020-03-04, 248489
2020/10, eth, 0.4.11, 15, 2020-03-04, 1307
2018/41, eth, 0.4.10, 14, 2018-10-10, 77299
2018/31, eth, 0.4.8, 13, 2018-08-05, 13634
2018/22, money-tree, 0.10.0, 15, 2018-05-30, 690413
2017/50, eth, 0.4.6, 12, 2017-12-17, 39867
2017/41, eth, 0.4.5, 11, 2017-10-11, 16699
2017/20, eth, 0.4.4, 10, 2017-05-21, 6245
2017/17, eth, 0.4.3, 9, 2017-04-25, 1693
2017/13, eth, 0.4.2, 8, 2017-03-28, 1651
2017/10, eth, 0.4.1, 7, 2017-03-12, 1629
2017/04, eth, 0.4.0, 6, 2017-01-29, 1690
2016/47, eth, 0.3.4, 5, 2016-11-21, 2634
2016/47, eth, 0.3.3, 4, 2016-11-21, 1615
2016/42, eth, 0.3.2, 3, 2016-10-18, 1745
2016/37, eth, 0.3.1, 2, 2016-09-17, 1725
2016/28, eth, 0.3.0, 1, 2016-07-17, 1760
2015/21, money-tree, 0.9.0, 14, 2015-05-19, 469284
2015/04, money-tree, 0.8.9, 13, 2015-01-21, 20381
2014/49, money-tree, 0.8.8, 12, 2014-12-04, 6320
2014/22, money-tree, 0.8.7, 11, 2014-05-28, 40516
2013/52, money-tree, 0.8.6, 10, 2013-12-26, 3516
2013/52, money-tree, 0.8.5, 9, 2013-12-24, 2365
2013/51, money-tree, 0.8.4, 8, 2013-12-19, 2335
2013/51, money-tree, 0.8.3, 7, 2013-12-18, 2352
2013/51, money-tree, 0.8.2, 6, 2013-12-17, 2340
2013/38, money-tree, 0.8.1, 5, 2013-09-17, 2545
2013/38, money-tree, 0.8.0, 4, 2013-09-16, 2423
2013/37, money-tree, 0.0.3, 3, 2013-09-15, 2400
2013/37, money-tree, 0.0.2, 2, 2013-09-10, 2417
2013/37, money-tree, 0.0.1, 1, 2013-09-09, 2411
